Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
276,Ruben Loftus-Cheek\e97fd090,eng ENG,MFFW,Fulham,24,1996,21.2,3,0,0,36,60,3,13,23,22,1,0,0,134,43,81,34.7,Matches
277,Kevin Long\5a4280b1,ie IRL,DF,Burnley,29,1990,7.1,2,0,0,10,3,0,1,4,8,0,0,0,88,22,21,51.2,Matches
278,Shane Long\9f472354,ie IRL,FW,Southampton,33,1987,2.3,0,0,0,8,6,3,0,2,0,0,0,0,18,15,14,51.7,Matches
279,Matthew Longstaff\c0027d2d,eng ENG,MF,Newcastle Utd,20,2000,4.2,0,0,0,4,5,0,3,6,3,0,0,0,44,6,5,54.5,Matches
280,Sean Longstaff\a2b105e0,eng ENG,MF,Newcastle Utd,22,1997,15.7,2,0,0,26,23,0,7,19,21,0,0,0,118,12,15,44.4,Matches
281,Ademola Lookman\7c104bb7,ng NGA,FWMF,Fulham,22,1997,30.5,5,0,0,55,67,12,64,25,29,0,0,0,200,7,36,16.3,Matches
282,Max Lowe\7af88b33,eng ENG,DF,Sheffield Utd,23,1997,6.1,1,0,0,11,3,0,17,3,14,0,0,0,43,5,19,20.8,Matches
283,Matthew Lowton\9a9c05db,eng ENG,DF,Burnley,31,1989,34.0,5,0,0,26,15,0,57,55,36,0,0,0,315,38,24,61.3,Matches
284,David Luiz\c0e27d1a,br BRA,DF,Arsenal,33,1987,15.5,1,1,0,16,7,1,7,12,9,0,0,0,115,30,12,71.4,Matches
285,Douglas Luiz\6f7d826d,br BRA,MF,Aston Villa,22,1998,30.9,10,1,1,68,55,0,13,33,43,0,2,0,375,40,43,48.2,Matches
286,John Lundstram\0df2b165,eng ENG,MF,Sheffield Utd,26,1994,22.6,8,1,0,33,24,1,31,21,12,0,0,0,171,18,15,54.5,Matches
287,Alexis Mac Allister\83d074ff,ar ARG,MFFW,Brighton,21,1998,12.4,1,0,0,22,20,0,7,11,18,0,0,0,102,10,24,29.4,Matches
288,James Maddison\ee38d9c5,eng ENG,MFFW,Leicester City,23,1996,23.3,4,0,0,28,71,5,40,11,27,2,0,0,149,3,18,14.3,Matches
289,Harry Maguire\d8931174,eng ENG,DF,Manchester Utd,27,1993,33.9,11,0,0,43,36,1,4,61,18,0,0,0,392,145,42,77.5,Matches
290,Riyad Mahrez\892d5bb1,dz ALG,FW,Manchester City,29,1991,21.7,0,0,0,18,37,7,60,6,15,0,0,0,123,15,18,45.5,Matches
291,Ainsley Maitland-Niles\e3a5814e,eng ENG,DF,Arsenal,22,1997,5.4,0,0,0,6,3,2,4,13,11,1,0,0,44,5,4,55.6,Matches
292,Ainsley Maitland-Niles\e3a5814e,eng ENG,MF,West Brom,22,1997,13.7,2,0,0,12,18,0,12,25,14,1,0,0,124,8,22,26.7,Matches
293,Josh Maja\bc0bfc64,ng NGA,FWMF,Fulham,21,1998,9.0,0,0,0,10,12,2,0,4,6,0,0,0,41,9,36,20.0,Matches
294,Sadio Mané\c691bfe2,sn SEN,FW,Liverpool,28,1992,31.2,3,0,0,57,84,31,63,15,32,1,0,0,160,28,80,25.9,Matches
295,Javier Manquillo\758dd7f0,es ESP,DF,Newcastle Utd,26,1994,9.2,1,0,0,8,7,0,20,8,14,0,0,0,75,17,10,63.0,Matches
296,Fernando Marçal\9ae9eaea,br BRA,DF,Wolves,31,1989,6.9,2,0,0,16,4,0,10,8,4,0,0,0,56,9,11,45.0,Matches
297,Solly March\bb5fbd2b,eng ENG,DF,Brighton,26,1994,18.6,0,0,0,28,26,2,71,19,35,0,1,0,186,17,22,43.6,Matches
298,Pablo Marí\aa54ec6f,es ESP,DF,Arsenal,26,1993,10.0,2,0,0,10,5,0,0,5,11,0,1,0,72,29,16,64.4,Matches
299,Anthony Martial\8b788c01,fr FRA,FW,Manchester Utd,24,1995,16.4,0,1,0,19,35,15,12,4,1,4,0,0,62,15,23,39.5,Matches
300,Martinelli\48a5a5d6,br BRA,FW,Arsenal,19,2001,6.5,0,0,0,8,6,1,14,8,1,0,0,0,33,6,14,30.0,Matches
301,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,27,1992,38.0,1,0,0,1,7,0,0,0,0,0,0,0,178,0,0,,Matches
302,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,26,1993,11.2,2,0,0,13,10,1,33,6,13,0,1,0,101,10,17,37.0,Matches
303,Juan Mata\29733c72,es ESP,FWMF,Manchester Utd,32,1988,5.7,0,0,0,1,6,2,7,2,2,0,0,0,28,1,3,25.0,Matches
304,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,23,1997,2.5,0,0,0,4,1,5,1,1,1,0,0,0,9,13,13,50.0,Matches
305,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,31,1988,12.3,2,0,0,18,8,0,6,18,15,0,0,0,127,19,8,70.4,Matches
306,Joël Matip\b217ef29,cm CMR,DF,Liverpool,28,1991,7.7,2,0,0,10,6,0,0,4,11,0,0,0,82,24,11,68.6,Matches
307,Neal Maupay\4bcf39f6,fr FRA,FWMF,Brighton,23,1996,27.9,1,1,0,35,51,12,11,12,18,1,1,0,117,26,68,27.7,Matches
308,James McArthur\cee31595,sct SCO,MF,Crystal Palace,32,1987,16.3,3,0,0,34,16,0,7,23,26,0,0,0,207,20,20,50.0,Matches
309,Oliver McBurnie\78b8ac63,sct SCO,FW,Sheffield Utd,24,1996,14.7,2,0,0,29,29,4,3,8,7,1,0,0,65,140,119,54.1,Matches
310,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,30,1989,30.0,2,0,0,0,2,0,0,0,0,0,0,0,130,0,0,,Matches
311,James McCarthy\64b08de7,ie IRL,MF,Crystal Palace,29,1990,9.1,1,0,0,10,8,0,5,8,8,0,0,0,112,7,8,46.7,Matches
312,John McGinn\90f91999,sct SCO,MF,Aston Villa,25,1994,37.0,12,0,0,56,94,2,30,45,46,1,0,0,304,27,50,35.1,Matches
313,David McGoldrick\dbe56a33,ie IRL,FWMF,Sheffield Utd,32,1987,26.6,7,0,0,54,43,17,24,12,16,0,0,0,146,94,133,41.4,Matches
314,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,20,1999,34.1,1,0,0,13,46,2,114,38,22,0,0,0,272,22,30,42.3,Matches
315,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,23,1996,23.7,3,0,0,51,48,1,9,51,29,0,0,0,215,49,34,59.0,Matches
316,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,30,1989,29.9,3,0,0,23,20,1,1,35,24,0,0,0,338,128,57,69.2,Matches
317,Hannibal Mejbri\ca22ccb0,tn TUN,MF,Manchester Utd,17,2003,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
318,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,26,1994,10.6,2,0,0,15,2,1,26,6,10,0,1,0,81,11,13,45.8,Matches
319,Edouard Mendy\33887998,sn SEN,GK,Chelsea,28,1992,30.5,2,0,0,1,3,0,0,0,0,0,1,0,118,0,1,0.0,Matches
320,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,28,1992,16.2,5,0,0,26,40,0,0,9,22,0,0,0,199,12,17,41.4,Matches
321,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,20,2000,35.0,0,0,0,1,9,0,0,0,0,0,1,1,173,0,0,,Matches
322,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,29,1991,26.2,8,1,0,48,33,0,15,44,44,0,0,0,270,33,23,58.9,Matches
